log,label,type
Mar 24 10:00:01 kali sshd[261]: Failed password for root from 149.30.66.171,attack,Bruteforce
Mar 24 10:00:01 kali sshd[229]: Failed password for root from 134.159.14.205,attack,Bruteforce
Mar 24 10:05:00 kali sshd[744]: Accepted password for user from 253.71.155.157,normal,Bruteforce
Mar 24 10:00:01 kali sshd[102]: Failed password for root from 106.66.89.229,attack,Bruteforce
Mar 24 10:05:00 kali sshd[748]: Accepted password for user from 189.9.247.12,normal,Bruteforce
Mar 24 10:05:00 kali sshd[603]: Accepted password for user from 130.105.147.89,normal,Bruteforce
Mar 24 10:05:00 kali sshd[771]: Accepted password for user from 27.163.70.21,normal,Bruteforce
Mar 24 10:00:01 kali sshd[335]: Failed password for root from 233.234.54.75,attack,Bruteforce
Mar 24 10:05:00 kali sshd[509]: Accepted password for user from 43.226.79.47,normal,Bruteforce
Mar 24 10:05:00 kali sshd[808]: Accepted password for user from 149.14.202.107,normal,Bruteforce
Mar 24 10:05:00 kali sshd[675]: Accepted password for user from 16.22.209.60,normal,Bruteforce
Mar 24 10:00:01 kali sshd[254]: Failed password for root from 219.128.216.31,attack,Bruteforce
Mar 24 10:00:01 kali sshd[404]: Failed password for root from 166.1.198.170,attack,Bruteforce
Mar 24 10:00:01 kali sshd[366]: Failed password for root from 99.45.246.144,attack,Bruteforce
Mar 24 10:05:00 kali sshd[894]: Accepted password for user from 120.178.110.188,normal,Bruteforce
Mar 24 10:05:00 kali sshd[899]: Accepted password for user from 63.6.163.109,normal,Bruteforce
Mar 24 10:05:00 kali sshd[840]: Accepted password for user from 248.201.22.81,normal,Bruteforce
Mar 24 10:00:01 kali sshd[375]: Failed password for root from 204.51.69.239,attack,Bruteforce
Mar 24 10:00:01 kali sshd[308]: Failed password for root from 184.241.31.42,attack,Bruteforce
Mar 24 10:00:01 kali sshd[403]: Failed password for root from 91.217.8.101,attack,Bruteforce
Mar 24 10:00:01 kali sshd[256]: Failed password for root from 163.24.167.63,attack,Bruteforce
Mar 24 10:05:00 kali sshd[564]: Accepted password for user from 38.15.214.121,normal,Bruteforce
Mar 24 10:00:01 kali sshd[484]: Failed password for root from 215.209.70.190,attack,Bruteforce
Mar 24 10:00:01 kali sshd[390]: Failed password for root from 100.9.101.212,attack,Bruteforce
Mar 24 10:00:01 kali sshd[136]: Failed password for root from 106.46.36.215,attack,Bruteforce
Mar 24 10:05:00 kali sshd[651]: Accepted password for user from 19.218.177.128,normal,Bruteforce
