log,label,type
"203.143.12.104 - - [24/Mar/2026:12:01:40] ""GET /api/data HTTP/1.1"" 200",attack,DoS
"144.92.144.105 - - [24/Mar/2026:12:29:15] ""GET /home HTTP/1.1"" 503",attack,DoS
"166.236.159.63 - - [24/Mar/2026:12:54:50] ""GET /api/data HTTP/1.1"" 200",attack,DoS
"109.79.139.128 - - [24/Mar/2026:12:00:17] ""GET /home HTTP/1.1"" 200",normal,DoS
"227.184.62.227 - - [24/Mar/2026:12:42:36] ""GET /home HTTP/1.1"" 503",attack,DoS
"126.139.19.156 - - [24/Mar/2026:12:39:38] ""GET /home HTTP/1.1"" 504",attack,DoS
"166.25.46.55 - - [24/Mar/2026:12:20:46] ""GET /login HTTP/1.1"" 200",normal,DoS
"40.241.229.186 - - [24/Mar/2026:12:53:31] ""GET /home HTTP/1.1"" 504",attack,DoS
"151.223.84.244 - - [24/Mar/2026:12:56:51] ""GET /api/data HTTP/1.1"" 200",normal,DoS
"62.205.187.205 - - [24/Mar/2026:12:44:18] ""GET /home HTTP/1.1"" 503",attack,DoS
"153.157.103.197 - - [24/Mar/2026:12:47:11] ""GET / HTTP/1.1"" 200",attack,DoS
"253.183.122.209 - - [24/Mar/2026:12:45:51] ""GET /login HTTP/1.1"" 503",attack,DoS
"178.54.96.235 - - [24/Mar/2026:12:03:39] ""GET /home HTTP/1.1"" 200",attack,DoS
"132.27.226.184 - - [24/Mar/2026:12:21:23] ""GET / HTTP/1.1"" 200",normal,DoS
"128.227.200.221 - - [24/Mar/2026:12:58:32] ""GET /home HTTP/1.1"" 200",attack,DoS
"228.221.77.99 - - [24/Mar/2026:12:07:38] ""GET /api/data HTTP/1.1"" 503",attack,DoS
"246.138.246.254 - - [24/Mar/2026:12:16:38] ""GET /home HTTP/1.1"" 504",attack,DoS
"97.65.123.17 - - [24/Mar/2026:12:48:46] ""GET /login HTTP/1.1"" 503",attack,DoS
"102.65.207.253 - - [24/Mar/2026:12:00:52] ""GET / HTTP/1.1"" 504",attack,DoS
"172.157.254.169 - - [24/Mar/2026:12:33:59] ""GET /api/data HTTP/1.1"" 503",attack,DoS
"72.163.223.219 - - [24/Mar/2026:12:16:58] ""GET /home HTTP/1.1"" 200",attack,DoS
"61.71.126.151 - - [24/Mar/2026:12:57:21] ""GET /home HTTP/1.1"" 200",attack,DoS
"254.156.19.212 - - [24/Mar/2026:12:27:40] ""GET / HTTP/1.1"" 503",attack,DoS
"14.60.65.222 - - [24/Mar/2026:12:16:19] ""GET /login HTTP/1.1"" 200",attack,DoS
"205.188.134.239 - - [24/Mar/2026:12:54:58] ""GET /login HTTP/1.1"" 503",attack,DoS
"253.51.142.96 - - [24/Mar/2026:12:13:11] ""GET /home HTTP/1.1"" 504",attack,DoS
"7.43.210.41 - - [24/Mar/2026:12:43:13] ""GET / HTTP/1.1"" 503",attack,DoS
"216.169.143.144 - - [24/Mar/2026:12:45:34] ""GET /home HTTP/1.1"" 503",attack,DoS
"132.67.141.93 - - [24/Mar/2026:12:10:42] ""GET /api/data HTTP/1.1"" 504",attack,DoS
"149.41.146.2 - - [24/Mar/2026:12:09:07] ""GET /login HTTP/1.1"" 200",normal,DoS
"212.208.64.225 - - [24/Mar/2026:12:45:00] ""GET /home HTTP/1.1"" 200",attack,DoS
"190.166.169.71 - - [24/Mar/2026:12:55:00] ""GET /login HTTP/1.1"" 504",attack,DoS
"215.216.203.198 - - [24/Mar/2026:12:13:34] ""GET /home HTTP/1.1"" 200",normal,DoS
"45.145.251.46 - - [24/Mar/2026:12:38:34] ""GET /home HTTP/1.1"" 503",attack,DoS
"123.226.17.110 - - [24/Mar/2026:12:09:36] ""GET /api/data HTTP/1.1"" 503",attack,DoS
"166.222.167.194 - - [24/Mar/2026:12:27:23] ""GET /login HTTP/1.1"" 200",attack,DoS
"230.93.159.96 - - [24/Mar/2026:12:32:34] ""GET /api/data HTTP/1.1"" 504",attack,DoS
"29.243.177.182 - - [24/Mar/2026:12:26:31] ""GET /login HTTP/1.1"" 200",attack,DoS
"38.111.11.231 - - [24/Mar/2026:12:17:45] ""GET /api/data HTTP/1.1"" 503",attack,DoS
"220.84.253.2 - - [24/Mar/2026:12:25:16] ""GET /home HTTP/1.1"" 504",attack,DoS
"130.99.3.248 - - [24/Mar/2026:12:22:15] ""GET / HTTP/1.1"" 200",attack,DoS
"12.127.215.107 - - [24/Mar/2026:12:00:17] ""GET /home HTTP/1.1"" 200",normal,DoS
"174.29.39.106 - - [24/Mar/2026:12:26:36] ""GET / HTTP/1.1"" 504",attack,DoS
"49.171.175.33 - - [24/Mar/2026:12:51:14] ""GET /login HTTP/1.1"" 200",attack,DoS
"198.176.81.230 - - [24/Mar/2026:12:17:19] ""GET /api/data HTTP/1.1"" 503",attack,DoS
"88.242.87.93 - - [24/Mar/2026:12:19:22] ""GET /login HTTP/1.1"" 503",attack,DoS
"87.174.232.43 - - [24/Mar/2026:12:33:43] ""GET / HTTP/1.1"" 504",attack,DoS
"200.148.198.130 - - [24/Mar/2026:12:28:16] ""GET /login HTTP/1.1"" 503",attack,DoS
"49.106.241.98 - - [24/Mar/2026:12:28:09] ""GET /home HTTP/1.1"" 503",attack,DoS
"201.214.111.80 - - [24/Mar/2026:12:50:51] ""GET /home HTTP/1.1"" 503",attack,DoS
"72.112.184.209 - - [24/Mar/2026:12:54:12] ""GET /login HTTP/1.1"" 504",attack,DoS
"157.6.11.23 - - [24/Mar/2026:12:30:53] ""GET /login HTTP/1.1"" 504",attack,DoS
"85.169.226.88 - - [24/Mar/2026:12:13:46] ""GET /api/data HTTP/1.1"" 503",attack,DoS
"171.213.59.201 - - [24/Mar/2026:12:50:41] ""GET /login HTTP/1.1"" 200",attack,DoS
"183.68.90.237 - - [24/Mar/2026:12:21:52] ""GET / HTTP/1.1"" 504",attack,DoS
"151.210.228.175 - - [24/Mar/2026:12:43:59] ""GET /login HTTP/1.1"" 504",attack,DoS
"149.147.239.36 - - [24/Mar/2026:12:13:39] ""GET /home HTTP/1.1"" 503",attack,DoS
"111.130.41.226 - - [24/Mar/2026:12:26:40] ""GET /home HTTP/1.1"" 503",attack,DoS
"63.242.90.244 - - [24/Mar/2026:12:09:08] ""GET /api/data HTTP/1.1"" 503",attack,DoS
"134.169.22.143 - - [24/Mar/2026:12:31:50] ""GET /login HTTP/1.1"" 504",attack,DoS
"1.244.165.208 - - [24/Mar/2026:12:27:46] ""GET /api/data HTTP/1.1"" 200",attack,DoS
"2.194.73.25 - - [24/Mar/2026:12:14:13] ""GET / HTTP/1.1"" 503",attack,DoS
"117.59.23.88 - - [24/Mar/2026:12:07:11] ""GET /login HTTP/1.1"" 504",attack,DoS
"43.1.88.14 - - [24/Mar/2026:12:08:39] ""GET /home HTTP/1.1"" 200",normal,DoS
"10.157.32.178 - - [24/Mar/2026:12:23:15] ""GET /api/data HTTP/1.1"" 504",attack,DoS
"233.241.5.213 - - [24/Mar/2026:12:25:04] ""GET /login HTTP/1.1"" 200",attack,DoS
