log,label,type
GET /product?id=77 HTTP/1.1,normal,SQLi
GET /product?id=31 HTTP/1.1,normal,SQLi
GET /index.php?id=1AND SLEEP(5) HTTP/1.1,attack,SQLi
GET /index.php?id=1' OR 1=1-- HTTP/1.1,attack,SQLi
GET /product?id=22 HTTP/1.1,normal,SQLi
GET /index.php?id=1' OR '1'='1 HTTP/1.1,attack,SQLi
GET /product?id=13 HTTP/1.1,normal,SQLi
GET /index.php?id=1'; DROP TABLE users HTTP/1.1,attack,SQLi
"GET /index.php?id=1UNION SELECT username, password FROM users HTTP/1.1",attack,SQLi
GET /product?id=88 HTTP/1.1,normal,SQLi
GET /index.php?id=1' OR 1=1-- HTTP/1.1,attack,SQLi
GET /index.php?id=1AND SLEEP(5) HTTP/1.1,attack,SQLi
GET /index.php?id=1'; DROP TABLE users HTTP/1.1,attack,SQLi
GET /index.php?id=1' OR '1'='1 HTTP/1.1,attack,SQLi
GET /index.php?id=1' OR 1=1-- HTTP/1.1,attack,SQLi
GET /index.php?id=1' OR 1=1-- HTTP/1.1,attack,SQLi
GET /product?id=24 HTTP/1.1,normal,SQLi
GET /index.php?id=1' OR '1'='1 HTTP/1.1,attack,SQLi
GET /product?id=82 HTTP/1.1,normal,SQLi
GET /product?id=21 HTTP/1.1,normal,SQLi
GET /index.php?id=1' OR '1'='1 HTTP/1.1,attack,SQLi
GET /index.php?id=1'; DROP TABLE users HTTP/1.1,attack,SQLi
GET /index.php?id=1'; DROP TABLE users HTTP/1.1,attack,SQLi
GET /index.php?id=1AND SLEEP(5) HTTP/1.1,attack,SQLi
GET /index.php?id=1' OR '1'='1 HTTP/1.1,attack,SQLi
GET /product?id=52 HTTP/1.1,normal,SQLi
"GET /index.php?id=1UNION SELECT username, password FROM users HTTP/1.1",attack,SQLi
GET /index.php?id=1' OR '1'='1 HTTP/1.1,attack,SQLi
"GET /index.php?id=1UNION SELECT username, password FROM users HTTP/1.1",attack,SQLi
"GET /index.php?id=1UNION SELECT username, password FROM users HTTP/1.1",attack,SQLi
"GET /index.php?id=1UNION SELECT username, password FROM users HTTP/1.1",attack,SQLi
GET /product?id=6 HTTP/1.1,normal,SQLi
GET /index.php?id=1' OR 1=1-- HTTP/1.1,attack,SQLi
"GET /index.php?id=1UNION SELECT username, password FROM users HTTP/1.1",attack,SQLi
GET /index.php?id=1AND SLEEP(5) HTTP/1.1,attack,SQLi
GET /product?id=3 HTTP/1.1,normal,SQLi
GET /index.php?id=1AND SLEEP(5) HTTP/1.1,attack,SQLi
GET /index.php?id=1AND SLEEP(5) HTTP/1.1,attack,SQLi
GET /product?id=91 HTTP/1.1,normal,SQLi
GET /index.php?id=1' OR '1'='1 HTTP/1.1,attack,SQLi
GET /index.php?id=1'; DROP TABLE users HTTP/1.1,attack,SQLi
GET /product?id=46 HTTP/1.1,normal,SQLi
